iter	Passed	Remaining
0	24	24437
1	45	22760
2	71	23605
3	91	22821
4	96	19130
5	100	16596
6	119	16996
7	124	15415
8	150	16624
9	172	17079
10	197	17785
11	210	17369
12	235	17845
13	259	18309
14	264	17390
15	291	17899
16	317	18363
17	341	18657
18	370	19148
19	399	19566
20	425	19813
21	434	19336
22	459	19529
23	464	18886
24	468	18286
25	476	17857
26	487	17577
27	496	17240
28	515	17270
29	525	16986
30	549	17186
31	577	17457
32	604	17722
33	630	17914
34	646	17816
35	671	17970
36	683	17781
37	707	17916
38	712	17545
39	736	17665
40	740	17321
41	765	17456
42	789	17580
43	805	17511
44	830	17632
45	839	17402
46	863	17505
47	887	17593
48	910	17670
49	937	17810
50	965	17972
51	998	18200
52	1027	18353
53	1049	18381
54	1053	18109
55	1078	18188
56	1105	18282
57	1125	18278
58	1149	18335
59	1161	18202
60	1185	18248
61	1210	18308
62	1225	18232
63	1244	18200
64	1269	18266
65	1289	18249
66	1314	18302
67	1338	18346
68	1363	18399
69	1387	18432
70	1410	18462
71	1436	18508
72	1459	18533
73	1483	18558
74	1499	18498
75	1523	18526
76	1540	18465
77	1567	18526
78	1590	18547
79	1615	18573
80	1641	18619
81	1681	18829
82	1707	18866
83	1731	18885
84	1756	18907
85	1780	18923
86	1804	18940
87	1824	18910
88	1848	18925
89	1873	18946
90	1899	18976
91	1923	18981
92	1951	19032
93	1977	19055
94	2002	19074
95	2025	19075
96	2050	19085
97	2073	19088
98	2097	19092
99	2121	19097
100	2147	19112
101	2168	19088
102	2195	19116
103	2220	19131
104	2245	19139
105	2270	19146
106	2296	19163
107	2320	19162
108	2344	19163
109	2369	19169
110	2393	19172
111	2418	19171
112	2442	19175
113	2467	19175
114	2491	19177
115	2515	19170
116	2539	19163
117	2563	19162
118	2588	19161
119	2611	19154
120	2637	19160
121	2655	19111
122	2681	19115
123	2705	19115
124	2729	19109
125	2754	19104
126	2776	19088
127	2800	19079
128	2824	19071
129	2847	19058
130	2872	19052
131	2896	19046
132	2921	19042
133	2947	19048
134	2972	19046
135	2997	19042
136	3021	19033
137	3046	19026
138	3070	19021
139	3096	19021
140	3121	19016
141	3147	19015
142	3170	19001
143	3193	18986
144	3218	18977
145	3242	18969
146	3267	18958
147	3291	18947
148	3313	18926
149	3336	18909
150	3361	18898
151	3385	18887
152	3408	18871
153	3433	18860
154	3456	18844
155	3480	18832
156	3503	18812
157	3528	18805
158	3553	18792
159	3575	18773
160	3600	18761
161	3624	18750
162	3651	18747
163	3675	18735
164	3707	18760
165	3732	18751
166	3757	18740
167	3780	18722
168	3805	18710
169	3829	18698
170	3854	18686
171	3879	18677
172	3904	18664
173	3928	18648
174	3952	18634
175	3977	18619
176	4010	18645
177	4044	18678
178	4068	18661
179	4094	18652
180	4119	18640
181	4145	18632
182	4168	18611
183	4194	18599
184	4218	18585
185	4243	18572
186	4269	18561
187	4294	18549
188	4318	18530
