iter	RMSE
0	15.05620146
1	14.37055476
2	13.7092338
3	13.05634918
4	12.41170785
5	11.79926281
6	11.2384712
7	10.6847023
8	10.18450396
9	9.696101107
10	9.244419145
11	8.796988974
12	8.390780147
13	8.000353303
14	7.609384401
15	7.259705666
16	6.921269816
17	6.598500534
18	6.298115639
19	6.015801602
20	5.738858887
21	5.464800135
22	5.22172927
23	4.972387816
24	4.735923414
25	4.512841518
26	4.304496978
27	4.104057233
28	3.918047989
29	3.737700382
30	3.58253381
31	3.431511122
32	3.282674602
33	3.145904673
34	3.010199358
35	2.88767765
36	2.763432244
37	2.653283451
38	2.539960501
39	2.439262943
40	2.338228998
41	2.249875189
42	2.166490413
43	2.082221051
44	2.006029186
45	1.928240507
46	1.859336203
47	1.796898086
48	1.739411362
49	1.683137058
50	1.630259084
51	1.581030503
52	1.530605419
53	1.481331002
54	1.436952493
55	1.394615457
56	1.356823677
57	1.319537264
58	1.285476669
59	1.253868793
60	1.222497479
61	1.19178068
62	1.164753565
63	1.137680343
64	1.111506173
65	1.079825868
66	1.051153114
67	1.027731009
68	1.004694402
69	0.982620724
70	0.9599080017
71	0.9394168008
72	0.9220849207
73	0.9038876721
74	0.8875083497
75	0.8716391843
76	0.8558325776
77	0.8409729202
78	0.8255539149
79	0.8125525698
80	0.8002392084
81	0.7881216274
82	0.7770073728
83	0.7649600349
84	0.7543591883
85	0.7416774791
86	0.7303369773
87	0.7197442498
88	0.7113442072
89	0.7017126149
90	0.6943310635
91	0.6860719732
92	0.6766713522
93	0.6690096995
94	0.6595812371
95	0.6516239847
96	0.6449668483
97	0.6388065006
98	0.6302447024
99	0.6234894498
100	0.6178011804
101	0.6131835058
102	0.6076385414
103	0.6026871362
104	0.597372582
105	0.5921535724
106	0.5872538911
107	0.5824370502
108	0.5779801027
109	0.5738055608
110	0.568952407
111	0.5650585024
112	0.5612825957
113	0.5568716083
114	0.5533767565
115	0.5494019928
116	0.5445221948
117	0.5415436172
118	0.5376682211
119	0.5346614991
120	0.5305352928
121	0.5279193526
122	0.5253191471
123	0.5228787892
124	0.5192758617
125	0.5156176365
126	0.513837054
127	0.5115415959
128	0.5086214319
129	0.5054339863
130	0.5024701297
131	0.4997745579
132	0.4969230361
133	0.4943717563
134	0.4917232197
135	0.4893419367
136	0.4858324841
137	0.4842385208
138	0.4816676073
139	0.4794632688
140	0.47767518
141	0.4755086427
142	0.4733508012
143	0.4717710729
144	0.4701433391
145	0.4681019895
146	0.4653070695
147	0.4632587619
148	0.4611046767
149	0.4591561734
150	0.4573872342
151	0.4558307006
152	0.45467634
153	0.4536407743
154	0.4522081769
155	0.4507951528
156	0.449735556
157	0.4477817155
158	0.4465829198
159	0.4443500207
160	0.4417781893
161	0.4403814225
162	0.4390222182
163	0.4381418804
164	0.4358235835
165	0.4340708758
166	0.4324459553
167	0.4312129958
168	0.4300463219
169	0.4292266999
170	0.4285611965
171	0.4271029402
172	0.4264723117
173	0.4248781346
174	0.4239972721
175	0.423503511
176	0.4228830791
177	0.4215924366
178	0.4208438688
179	0.4195599823
180	0.4191907898
181	0.4183691931
182	0.4156675476
183	0.4148359625
184	0.4145204386
185	0.4135337036
186	0.4128204607
187	0.4120188659
188	0.411576907
189	0.4107306179
190	0.4095754308
191	0.4093047883
192	0.4087800991
193	0.4076424595
194	0.4069477953
195	0.4064185161
196	0.4036472316
197	0.4030793947
198	0.402520777
199	0.4014563537
200	0.3987434972
201	0.3976893075
202	0.3957520763
203	0.3950036494
204	0.3944378114
205	0.393857848
206	0.3936082035
207	0.3932684784
208	0.392197663
209	0.3910140144
210	0.3886601144
211	0.388274391
212	0.3881037951
213	0.3866893994
214	0.3860364601
215	0.3857362513
216	0.3855783849
217	0.3846870426
218	0.384449799
219	0.383001656
220	0.382383386
221	0.3820502686
222	0.3799690907
223	0.3786920274
224	0.3771822231
225	0.3763835589
226	0.3759193219
227	0.3747721163
228	0.3741057807
229	0.3731608661
230	0.3729748987
231	0.3726496307
232	0.3717551208
233	0.3706866334
234	0.3705476184
235	0.3704152319
236	0.3696092477
237	0.3676188333
238	0.3661305866
239	0.3659877516
240	0.3646034146
241	0.363384096
242	0.3616021357
243	0.3601881722
244	0.3589053465
245	0.3584545962
246	0.3577524469
247	0.3572805875
248	0.3554953322
249	0.3545053252
250	0.3534684749
251	0.3532708038
252	0.352171798
253	0.3504557351
254	0.3503419384
255	0.349603547
256	0.3486690054
257	0.3474476792
258	0.3458396869
259	0.34505215
260	0.3441211785
261	0.3427630514
262	0.341148606
263	0.3410468232
264	0.3402037108
265	0.3391228776
266	0.3385979778
267	0.3380327554
268	0.3377768939
269	0.3369462235
270	0.3351056395
271	0.3344684707
272	0.333636711
273	0.3329035837
274	0.3320593103
275	0.3313180057
276	0.3312116405
277	0.3301591559
278	0.3294772445
279	0.3284284564
280	0.3276561749
281	0.3264342282
282	0.3260317808
283	0.3251351683
284	0.324301436
285	0.3227915114
286	0.3221156496
287	0.3210598487
288	0.3195688656
289	0.3190074067
290	0.3185290635
291	0.3183898566
292	0.3175793169
293	0.3172188956
294	0.3164094719
295	0.3162469868
296	0.3158659712
297	0.3148773782
298	0.3143239577
299	0.3142243747
300	0.3140426223
301	0.3136102353
302	0.3132493911
303	0.3131379321
304	0.3123428538
305	0.3121171399
306	0.3116984339
307	0.311094423
308	0.3093233506
309	0.3090875994
310	0.3081761121
311	0.3080077392
312	0.3066361256
313	0.3061905488
314	0.306126267
315	0.3058914576
316	0.3057570377
317	0.3051892526
318	0.3047081637
319	0.3037664425
320	0.3033081541
321	0.3028369
322	0.3023405485
323	0.3018013392
324	0.3015855147
325	0.3012614181
326	0.3010288032
327	0.3000982421
328	0.299566354
329	0.2989474983
330	0.2985868034
331	0.2977977702
332	0.2969877032
333	0.2966589836
334	0.2962165502
335	0.2955075369
336	0.2947393223
337	0.2945442759
338	0.2933103198
339	0.2931335975
340	0.2930368475
341	0.2929919355
342	0.2928129686
343	0.2917366735
344	0.291647077
345	0.2914874486
346	0.2913204254
347	0.2904060831
348	0.2902602746
349	0.2895848562
350	0.2891709974
351	0.2885062959
352	0.2879213842
353	0.2873550367
354	0.2864797361
355	0.2855403162
356	0.2849140539
357	0.2843841933
358	0.2833430247
359	0.282684279
360	0.2818802894
361	0.281711239
362	0.2810423757
363	0.2809004088
364	0.2806433815
365	0.2800946691
366	0.2790587376
367	0.278233024
368	0.2779270684
369	0.2771573662
370	0.2770545333
371	0.2769687535
372	0.2763847803
373	0.2762461451
374	0.2753133697
375	0.2749748249
376	0.2739194814
377	0.2738327452
378	0.273416487
379	0.2727303264
380	0.2718122528
381	0.2714541926
382	0.2705277363
383	0.2703192257
384	0.2694327802
385	0.2684496661
386	0.268336051
387	0.2677385962
388	0.2676531248
389	0.2669824899
390	0.2665726723
391	0.2662294122
392	0.2655481035
393	0.2651256694
394	0.263981817
395	0.2637962962
396	0.263186391
397	0.2629844106
398	0.2621430232
399	0.2612990497
400	0.2610744649
401	0.2609217818
402	0.2607069877
403	0.2605196651
404	0.2601389279
405	0.2598628767
406	0.2597770897
407	0.2594113701
408	0.258811707
409	0.2587354959
410	0.2583848563
411	0.258345757
412	0.2575746319
413	0.2567147743
414	0.2559871648
415	0.255647174
416	0.2553050523
417	0.2549091604
418	0.254812397
419	0.2541624282
420	0.2538450066
421	0.2533390853
422	0.2530826007
423	0.2518995624
