iter	Passed	Remaining
401	13501	20084
402	13534	20050
403	13568	20016
404	13602	19984
405	13634	19948
406	13664	19909
407	13698	19875
408	13731	19841
409	13763	19805
410	13795	19770
411	13827	19735
412	13859	19699
413	13893	19666
414	13941	19651
415	13973	19617
416	14005	19580
417	14038	19546
418	14071	19512
419	14104	19477
420	14136	19441
421	14170	19408
422	14203	19374
423	14236	19339
424	14268	19304
425	14301	19270
426	14336	19238
427	14370	19205
428	14403	19171
429	14437	19137
430	14469	19102
431	14500	19065
432	14532	19030
433	14567	18997
434	14599	18962
435	14632	18927
436	14663	18890
437	14695	18855
438	14728	18821
439	14761	18787
440	14796	18755
441	14828	18720
442	14862	18686
443	14895	18653
444	14929	18619
445	14963	18587
446	14994	18550
447	15026	18514
448	15059	18480
449	15092	18445
450	15139	18428
451	15172	18395
452	15204	18359
453	15237	18325
454	15270	18290
455	15302	18255
456	15335	18221
457	15367	18185
458	15397	18148
459	15429	18112
460	15461	18078
461	15494	18043
462	15525	18007
463	15559	17973
464	15591	17938
465	15624	17904
466	15658	17871
467	15690	17836
468	15722	17801
469	15756	17767
470	15788	17732
471	15820	17698
472	15853	17663
473	15885	17628
474	15917	17592
475	15951	17560
476	15983	17525
477	16015	17489
478	16046	17453
479	16079	17419
480	16109	17382
481	16140	17346
482	16171	17310
483	16205	17277
484	16237	17241
485	16270	17208
486	16302	17172
487	16336	17139
488	16375	17111
489	16409	17079
490	16441	17043
491	16475	17011
492	16525	16994
493	16557	16959
494	16590	16925
495	16624	16893
496	16660	16861
497	16692	16826
498	16724	16791
499	16757	16757
500	16789	16722
501	16820	16686
502	16852	16651
503	16884	16616
504	16917	16582
505	16951	16549
506	16984	16515
507	17016	16480
508	17050	16447
509	17085	16415
510	17118	16381
511	17150	16346
512	17180	16310
513	17214	16276
514	17246	16241
515	17277	16206
516	17311	16172
517	17344	16138
518	17376	16104
519	17411	16071
520	17445	16038
521	17480	16007
522	17515	15975
523	17551	15944
524	17584	15909
525	17621	15879
526	17654	15845
527	17687	15811
528	17720	15777
529	17752	15743
530	17784	15708
531	17817	15673
532	17850	15640
533	17883	15606
534	17915	15571
535	17949	15538
536	17982	15504
537	18016	15471
538	18051	15439
539	18082	15403
540	18113	15368
541	18146	15334
542	18178	15299
543	18211	15265
544	18244	15231
545	18277	15197
546	18309	15163
547	18343	15129
548	18378	15098
549	18410	15063
550	18443	15029
551	18473	14992
552	18510	14962
