ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
129186-1487,İstiklal,Polatlı,Ankara,3.400.000 TL,100,90,2 + 1,1,4 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",500 TL,https://www.hepsiemlak.com/ankara-polatli-istiklal-satilik/daire/129186-1487
129186-1407,Şehitlik,Polatlı,Ankara,3.150.000 TL,150,140,3 + 1,2,4 Katlı,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/ankara-polatli-sehitlik-satilik/daire/129186-1407
6545-3212,Oba,Alanya,Antalya,8.000.000 TL,150,140,4 + 1,2,4 Katlı,4. Kat,11 Yaşında,Klima,Eşyalı,Boş,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/antalya-alanya-oba-satilik/daire/6545-3212
6545-4872,Şekerhane,Alanya,Antalya,2.250.000 TL,50,49,1 + 1,1,4 Katlı,4. Kat,31 Yaşında,Klima,Eşyalı Değil,Boş,Kat İrtifakı,Kuzey,,https://www.hepsiemlak.com/antalya-alanya-sekerhane-satilik/daire/6545-4872
136514-173,Cuma,Efeler,Aydın,2.650.000 TL,130,120,3 + 1,1,5 Katlı,Ara Kat,40 Yaşında,Klima,,Kiracılı,Kat İrtifakı,,,https://www.hepsiemlak.com/aydin-efeler-cuma-satilik/daire/136514-173
75964-3274,Üçevler,Esenyurt,İstanbul,3.250.000 TL,120,100,2 + 1,1,4 Katlı,1. Kat,9 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",250 TL,https://www.hepsiemlak.com/istanbul-esenyurt-ucevler-satilik/daire/75964-3274
44716-9632,Şahintepe,Mamak,Ankara,3.149.000 TL,135,125,3 + 1,1,3 Katlı,3. Kat,20 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Yabancıdan,"Güney, Doğu",200 TL,https://www.hepsiemlak.com/ankara-mamak-sahintepe-satilik/daire/44716-9632
169282-16,Feneseaşağı,Develi,Kayseri,3.275.000 TL,180,160,2 + 1,2,5 Katlı,Teras Katı,10 Yaşında,Kombi,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",500 TL,https://www.hepsiemlak.com/kayseri-develi-feneseasagi-satilik/daire/169282-16
58851-1020,Basın Sitesi,Karabağlar,İzmir,5.400.000 TL,130,115,3 + 1,1,6 Katlı,2. Kat,35 Yaşında,Isıtma Yok,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",250 TL,https://www.hepsiemlak.com/izmir-karabaglar-basin-sitesi-satilik/daire/58851-1020
154828-6,Küçükköy,Ayvalık,Balıkesir,35.990.000 TL,200,129,4 + 1,3,3 Katlı,,21 Yaşında,Klima,Eşyalı,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/balikesir-ayvalik-kucukkoy-satilik/villa/154828-6
131932-606,İkiçeşmelik,Kuşadası,Aydın,5.000.000 TL,110,90,2 + 1,1,4 Katlı,2. Kat,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,Doğu,500 TL,https://www.hepsiemlak.com/aydin-kusadasi-ikicesmelik-satilik/daire/131932-606
131932-608,Davutlar,Kuşadası,Aydın,7.500.000 TL,135,100,3 + 1,1,2 Katlı,Bahçe Katı,21 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/aydin-kusadasi-davutlar-satilik/villa/131932-608
87449-4034,Göztepe,Kadıköy,İstanbul,17.950.000 TL,95,75,2 + 1,2,8 Katlı,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,Doğu,,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/87449-4034
87449-4009,Zühtüpaşa,Kadıköy,İstanbul,10.250.000 TL,65,47,1 + 1,1,6 Katlı,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-zuhtupasa-satilik/daire/87449-4009
2152-8922,Ilıca,Çeşme,İzmir,28.000.000 TL,180,150,4 + 1,2,2 Katlı,,40 Yaşında,Klima,,Boş,Arsa,"Kuzey, Güney",,https://www.hepsiemlak.com/izmir-cesme-ilica-satilik/villa/2152-8922
111267-1819,Atayurt,Etimesgut,Ankara,4.650.000 TL,89,85,2 + 1,2,12 Katlı,4. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-etimesgut-atayurt-satilik/daire/111267-1819
148098-844,Efeler,Didim,Aydın,13.500.000 TL,280,200,4 + 1,3,2 Katlı,Bahçe Katı,Sıfır Bina,Klima,Eşyalı Değil,Boş,Kat İrtifakı,Batı,,https://www.hepsiemlak.com/aydin-didim-efeler-satilik/villa/148098-844
101486-2791,Atapark,Keçiören,Ankara,5.450.000 TL,130,125,3 + 1,2,3 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-kecioren-atapark-satilik/daire/101486-2791
70629-136,29 Ekim,Sincan,Ankara,3.650.000 TL,125,110,3 + 1,1,4 Katlı,2. Kat,15 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-sincan-29-ekim-satilik/daire/70629-136
70629-140,29 Ekim,Sincan,Ankara,3.950.000 TL,110,98,2 + 1,1,4 Katlı,Yüksek Giriş,2 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-sincan-29-ekim-satilik/daire/70629-140
162578-218,Kuzeyyaka,Kepez,Antalya,3.100.000 TL,140,125,3 + 1,1,3 Katlı,3. Kat,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,,,https://www.hepsiemlak.com/antalya-kepez-kuzeyyaka-satilik/daire/162578-218
137815-80,Emirbeyazıt,Menteşe,Muğla,7.000.000 TL,135,125,3 + 1,1,5 Katlı,Yüksek Giriş,26 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/mugla-mentese-emirbeyazit-satilik/daire/137815-80
137815-83,Emirbeyazıt,Menteşe,Muğla,6.000.000 TL,110,100,2 + 1,1,5 Katlı,2. Kat,31 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/mugla-mentese-emirbeyazit-satilik/daire/137815-83
137815-85,Orhaniye,Menteşe,Muğla,11.500.000 TL,135,125,3 + 1,2,3 Katlı,3. Kat,11 Yaşında,Yerden Isıtma,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/mugla-mentese-orhaniye-satilik/daire/137815-85
101486-2780,Ovacık,Keçiören,Ankara,12.990.000 TL,220,200,4 + 1,2,20 Katlı,12. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",2.500 TL,https://www.hepsiemlak.com/ankara-kecioren-ovacik-satilik/daire/101486-2780
163846-61,Küçükbük,Bodrum,Muğla,13.250.000 TL,88,74,2 + 1,2,2 Katlı,Bahçe Katı,6 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,4.500 TL,https://www.hepsiemlak.com/mugla-bodrum-kucukbuk-satilik/daire/163846-61
76272-1684,Kadınlar Denizi,Kuşadası,Aydın,9.000.000 TL,200,150,4 + 1,3,4 Katlı,Çatı Katı,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Doğu, Batı",2.000 TL,https://www.hepsiemlak.com/aydin-kusadasi-kadinlar-denizi-satilik/residence/76272-1684
55498-129,Piri Reis,Darıca,Kocaeli,67.500.000 TL,1000,900,10 + 0,7,2 Katlı,Bahçe Katı,21 Yaşında,Kombi,Eşyalı Değil,Boş,Arsa,"Kuzey, Batı",,https://www.hepsiemlak.com/kocaeli-darica-piri-reis-satilik/villa/55498-129
169386-10,Döğüşbelen,Köyceğiz,Muğla,16.500.000 TL,330,260,4 + 3,3,2 Katlı,,5 Yaşında,Klima,Eşyalı,Boş,Müstakil Tapulu,,,https://www.hepsiemlak.com/mugla-koycegiz-dogusbelen-satilik/mustakil-ev/169386-10
55498-267,Piri Reis,Darıca,Kocaeli,11.000.000 TL,140,120,3 + 1,1,1 Katlı,,26 Yaşında,Isıtma Yok,Eşyalı Değil,Mülk Sahibi,Arsa,"Kuzey, Batı",,https://www.hepsiemlak.com/kocaeli-darica-piri-reis-satilik/villa/55498-267
117865-321,Yeni,İzmit,Kocaeli,3.500.000 TL,85,80,2 + 1,1,3 Katlı,Giriş Katı,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,1.200 TL,https://www.hepsiemlak.com/kocaeli-izmit-yeni-satilik/daire/117865-321
80176-1113,Cumhuriyet,Didim,Aydın,4.500.000 TL,55,50,1 + 1,1,3 Katlı,1. Kat,Sıfır Bina,Klima,Eşyalı Değil,Boş,Tapu Yok,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/aydin-didim-cumhuriyet-satilik/daire/80176-1113
167757-9,Sayağzı,Silifke,Mersin,3.200.000 TL,80,65,2 + 1,1,3 Katlı,2. Kat,Sıfır Bina,Klima,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Doğu",,https://www.hepsiemlak.com/mersin-silifke-sayagzi-satilik/daire/167757-9
170157-2,Özkonak (Cami - Kebir),Avanos,Nevşehir,14.000.000 TL,1754,180,8 + 1,5,2 Katlı,,15 Yaşında,Doğalgaz Sobası,Eşyalı,,Müstakil Tapulu,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/nevsehir-avanos-ozkonak-cami-kebir-satilik/villa/170157-2
54389-3036,Ekşioğlu,Çekmeköy,İstanbul,5.620.000 TL,100,80,2 + 1,1,4 Katlı,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-cekmekoy-eksioglu-satilik/daire/54389-3036
54389-3037,Abdurrahmangazi,Sancaktepe,İstanbul,5.420.000 TL,100,85,2 + 1,2,4 Katlı,1. Kat,11 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",250 TL,https://www.hepsiemlak.com/istanbul-sancaktepe-abdurrahmangazi-satilik/daire/54389-3037
88040-383,Akyarlar,Bodrum,Muğla,9.950.000 TL,150,100,3 + 1,2,2 Katlı,2. Kat,11 Yaşında,Klima,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,,,https://www.hepsiemlak.com/mugla-bodrum-akyarlar-satilik/daire/88040-383
4744-12297,İlkbahar,Çankaya,Ankara,8.450.000 TL,75,60,2 + 1,1,2 Katlı,1. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Belirtilmemiş,Kat İrtifakı,"Güney, Doğu",,https://www.hepsiemlak.com/ankara-cankaya-ilkbahar-satilik/daire/4744-12297
4744-12304,İdealtepe,Maltepe,İstanbul,9.600.000 TL,70,65,1 + 1,1,5 Katlı,1. Kat,13 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,Doğu,2.000 TL,https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-satilik/daire/4744-12304
4744-12320,İncek,Gölbaşı,Ankara,11.950.000 TL,165,150,3 + 1,2,15 Katlı,10. Kat,12 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-golbasi-incek-satilik/daire/4744-12320
4744-12367,Ata,Yenimahalle,Ankara,6.950.000 TL,135,125,3 + 1,2,9 Katlı,8. Kat,14 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,1.500 TL,https://www.hepsiemlak.com/ankara-yenimahalle-ata-satilik/daire/4744-12367
112101-2055,Davutlar,Kuşadası,Aydın,8.750.000 TL,120,110,3 + 1,3,3 Katlı,Bahçe Katı,26 Yaşında,Klima,Eşyalı,Mülk Sahibi,Kat İrtifakı,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/aydin-kusadasi-davutlar-satilik/villa/112101-2055
112101-2052,Davutlar,Kuşadası,Aydın,4.500.000 TL,75,65,2 + 1,1,4 Katlı,2. Kat,5 Yaşında,Klima,Eşyalı Değil,Boş,Kat İrtifakı,Kuzey,,https://www.hepsiemlak.com/aydin-kusadasi-davutlar-satilik/daire/112101-2052
130826-2594,Hisar,Didim,Aydın,10.000.000 TL,120,90,2 + 1,1,1 Katlı,Bahçe Katı,5 Yaşında,Isıtma Yok,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",1.500 TL,https://www.hepsiemlak.com/aydin-didim-hisar-satilik/villa/130826-2594
130826-2672,Efeler,Didim,Aydın,11.500.000 TL,180,150,3 + 1,2,2 Katlı,Bahçe Katı,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Doğu",,https://www.hepsiemlak.com/aydin-didim-efeler-satilik/villa/130826-2672
130826-2676,Efeler,Didim,Aydın,10.750.000 TL,180,150,3 + 1,2,2 Katlı,,Sıfır Bina,Isıtma Yok,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/aydin-didim-efeler-satilik/villa/130826-2676
130826-2684,Hisar,Didim,Aydın,11.500.000 TL,170,140,3 + 1,2,2 Katlı,,Sıfır Bina,Isıtma Yok,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/aydin-didim-hisar-satilik/villa/130826-2684
169900-15,Yediselviler,Yıldırım,Bursa,2.850.000 TL,55,50,4 + 2,2,3 Katlı,,30 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Müstakil Tapulu,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/bursa-yildirim-yediselviler-satilik/mustakil-ev/169900-15
54684-4292,Tuna,Karşıyaka,İzmir,13.600.000 TL,280,210,6 + 0,1,3 Katlı,Bahçe Katı,133 Yaşında,Klima,,Boş,Müstakil Tapulu,,,https://www.hepsiemlak.com/izmir-karsiyaka-tuna-satilik/kosk/54684-4292
54684-4353,Fevzi Çakmak,Foça,İzmir,54.000.000 TL,220,200,4 + 1,1,,Bahçe Katı,31 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Müstakil Tapulu,,,https://www.hepsiemlak.com/izmir-foca-fevzi-cakmak-satilik/mustakil-ev/54684-4353
54684-4318,Ataşehir,Çiğli,İzmir,12.200.000 TL,127,110,3 + 1,2,7 Katlı,5. Kat,6 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Batı",600 TL,https://www.hepsiemlak.com/izmir-cigli-atasehir-satilik/daire/54684-4318
54684-4504,Bahriye Üçok,Karşıyaka,İzmir,6.500.000 TL,145,130,3 + 1,1,4 Katlı,3. Kat,31 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Batı,,https://www.hepsiemlak.com/izmir-karsiyaka-bahriye-ucok-satilik/daire/54684-4504
148098-1075,Yeni,Didim,Aydın,5.950.000 TL,150,140,5 + 1,3,6 Katlı,Yüksek Giriş,11 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/aydin-didim-yeni-satilik/daire/148098-1075
148098-1036,Hisar,Didim,Aydın,18.000.000 TL,400,360,7 + 2,6,3 Katlı,Bahçe Katı,6 Yaşında,Klima,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/aydin-didim-hisar-satilik/villa/148098-1036
148098-1027,Hisar,Didim,Aydın,12.500.000 TL,140,100,4 + 1,2,3 Katlı,Bahçe Katı,2 Yaşında,Klima,Eşyalı Değil,Boş,Kat İrtifakı,Batı,,https://www.hepsiemlak.com/aydin-didim-hisar-satilik/villa/148098-1027
95770-3482,Kırkkonaklar,Çankaya,Ankara,5.290.000 TL,120,105,3 + 1,1,3 Katlı,Giriş Katı,8 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/ankara-cankaya-kirkkonaklar-satilik/daire/95770-3482
169900-14,Selimzade,Yıldırım,Bursa,3.380.000 TL,135,125,3 + 1,1,4 Katlı,4. Kat,25 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Doğu, Batı",,https://www.hepsiemlak.com/bursa-yildirim-selimzade-satilik/daire/169900-14
89764-390,Ballıkpınar,Gölbaşı,Ankara,24.500.000 TL,280,240,5 + 1,3,2 Katlı,,12 Yaşında,Kombi,Eşyalı Değil,Boş,Müstakil Tapulu,,1.250 TL,https://www.hepsiemlak.com/ankara-golbasi-ballikpinar-satilik/villa/89764-390
124313-843,Soğucak,Kuşadası,Aydın,20.500.000 TL,350,160,4 + 1,4,2 Katlı,Bahçe Katı,Sıfır Bina,Yerden Isıtma,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",3.000 TL,https://www.hepsiemlak.com/aydin-kusadasi-sogucak-satilik/villa/124313-843
124313-840,Karaova,Kuşadası,Aydın,32.000.000 TL,250,189,4 + 1,4,2 Katlı,Bahçe Katı,Sıfır Bina,Yerden Isıtma,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Güney, Batı",,https://www.hepsiemlak.com/aydin-kusadasi-karaova-satilik/villa/124313-840
131576-523,Tabduk Emre,Merkez,Karaman,3.550.000 TL,165,150,3 + 1,1,5 Katlı,3. Kat,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/karaman-merkez-tabduk-emre-satilik/daire/131576-523
73227-1678,Pamuklar,Yenimahalle,Ankara,5.990.000 TL,135,115,3 + 1,1,11 Katlı,5. Kat,11 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-yenimahalle-pamuklar-satilik/daire/73227-1678
73227-1682,Ergenekon,Yenimahalle,Ankara,4.990.000 TL,170,155,5 + 1,1,3 Katlı,3. Kat,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,,,https://www.hepsiemlak.com/ankara-yenimahalle-ergenekon-satilik/daire/73227-1682
129388-286,Yalıköy,Beykoz,İstanbul,120.000.000 TL,340,275,16 + 7,7,4 Katlı,,35 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Hisseli Tapu,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beykoz-yalikoy-satilik/mustakil-ev/129388-286
130826-2614,Cumhuriyet,Didim,Aydın,4.400.000 TL,50,45,1 + 1,1,3 Katlı,2. Kat,Sıfır Bina,Kat Kaloriferi,Eşyalı Değil,Boş,Kat İrtifakı,Güney,1.500 TL,https://www.hepsiemlak.com/aydin-didim-cumhuriyet-satilik/daire/130826-2614
130826-2428,Altınkum,Didim,Aydın,5.250.000 TL,80,65,2 + 1,1,3 Katlı,3. Kat,21 Yaşında,Isıtma Yok,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/aydin-didim-altinkum-satilik/daire/130826-2428
130826-2603,Akköy,Didim,Aydın,8.700.000 TL,150,120,3 + 1,2,2 Katlı,Bahçe Katı,11 Yaşında,Klima,Eşyalı,Mülk Sahibi,Yabancıdan,"Güney, Batı",1.500 TL,https://www.hepsiemlak.com/aydin-didim-akkoy-satilik/villa/130826-2603
130826-2484,Efeler,Didim,Aydın,3.500.000 TL,52,50,1 + 1,1,4 Katlı,Yüksek Giriş,6 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Kuzey, Doğu",100 TL,https://www.hepsiemlak.com/aydin-didim-efeler-satilik/daire/130826-2484
86972-2751,Bağlıca,Etimesgut,Ankara,14.950.000 TL,200,180,4 + 1,2,9 Katlı,4. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Batı",2.500 TL,https://www.hepsiemlak.com/ankara-etimesgut-baglica-satilik/daire/86972-2751
130826-2497,Altınkum,Didim,Aydın,8.450.000 TL,130,109,3 + 1,1,5 Katlı,Çatı Katı,6 Yaşında,Klima,Eşyalı,Boş,Kat İrtifakı,"Kuzey, Doğu",250 TL,https://www.hepsiemlak.com/aydin-didim-altinkum-satilik/daire/130826-2497
165166-25,Sıra,Urla,İzmir,14.250.000 TL,110,100,2 + 1,2,,Bahçe Katı,31 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu",,https://www.hepsiemlak.com/izmir-urla-sira-satilik/mustakil-ev/165166-25
169353-42,Akşemsettin,Sincan,Ankara,3.699.000 TL,130,120,3 + 1,1,2 Katlı,1. Kat,14 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-sincan-aksemsettin-satilik/daire/169353-42
52425-3322,Karagedik,Fethiye,Muğla,16.500.000 TL,130,110,3 + 1,2,2 Katlı,Bahçe Katı,11 Yaşında,Klima,Eşyalı,Boş,Yabancıdan,"Güney, Doğu, Batı",100 TL,https://www.hepsiemlak.com/mugla-fethiye-karagedik-satilik/villa/52425-3322
52425-3744,Tuzla,Fethiye,Muğla,9.000.000 TL,105,95,2 + 1,1,3 Katlı,Ara Kat,12 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Doğu, Batı",250 TL,https://www.hepsiemlak.com/mugla-fethiye-tuzla-satilik/daire/52425-3744
52425-3745,Yeşilüzümlü,Fethiye,Muğla,20.500.000 TL,195,175,6 + 1,5,3 Katlı,,1 Yaşında,Kat Kaloriferi,Eşyalı,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",3.000 TL,https://www.hepsiemlak.com/mugla-fethiye-yesiluzumlu-satilik/villa/52425-3745
52425-3747,Karagedik,Fethiye,Muğla,19.000.000 TL,200,140,3 + 0,2,2 Katlı,,Sıfır Bina,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",2.000 TL,https://www.hepsiemlak.com/mugla-fethiye-karagedik-satilik/villa/52425-3747
52425-3521,Foça,Fethiye,Muğla,9.900.000 TL,140,90,2 + 1,2,3 Katlı,Yüksek Giriş,16 Yaşında,Klima,Eşyalı,Boş,Kat Mülkiyeti,"Doğu, Batı",2.500 TL,https://www.hepsiemlak.com/mugla-fethiye-foca-satilik/daire/52425-3521
52425-3743,Foça,Fethiye,Muğla,25.500.000 TL,210,185,4 + 0,4,3 Katlı,,4 Yaşında,Kat Kaloriferi,Eşyalı,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",2.000 TL,https://www.hepsiemlak.com/mugla-fethiye-foca-satilik/villa/52425-3743
119442-2142,Yükseltepe,Keçiören,Ankara,4.650.000 TL,125,120,3 + 1,1,3 Katlı,3. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-kecioren-yukseltepe-satilik/daire/119442-2142
151046-110,Atapark,Keçiören,Ankara,5.150.000 TL,145,140,3 + 1,2,5 Katlı,2. Kat,6 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-kecioren-atapark-satilik/daire/151046-110
116875-727,Feneseaşağı,Develi,Kayseri,1.850.000 TL,125,100,2 + 1,1,2 Katlı,Yüksek Giriş,21 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/kayseri-develi-feneseasagi-satilik/daire/116875-727
168688-174,İncirli,Keçiören,Ankara,4.399.999 TL,130,120,3 + 1,1,4 Katlı,2. Kat,27 Yaşında,Kombi,,,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-kecioren-incirli-satilik/daire/168688-174
168688-79,İncirli,Keçiören,Ankara,5.049.000 TL,75,65,2 + 1,1,10 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,,,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-kecioren-incirli-satilik/daire/168688-79
119379-726,Efeler,Didim,Aydın,4.250.000 TL,85,75,2 + 1,1,4 Katlı,Ara Kat,13 Yaşında,Klima,Eşyalı,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",1 TL,https://www.hepsiemlak.com/aydin-didim-efeler-satilik/daire/119379-726
119379-714,Akbük,Didim,Aydın,11.250.000 TL,256,155,3 + 1,2,2 Katlı,,2 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",1 TL,https://www.hepsiemlak.com/aydin-didim-akbuk-satilik/villa/119379-714
119379-610,Hisar,Didim,Aydın,7.199.000 TL,150,118,2 + 1,1,2 Katlı,,Sıfır Bina,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/aydin-didim-hisar-satilik/villa/119379-610
44424-3123,Hürriyet,Kağıthane,İstanbul,5.130.000 TL,82,76,2 + 1,1,6 Katlı,3. Kat,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-kagithane-hurriyet-satilik/daire/44424-3123
170300-1,Şirinkapı,Buca,İzmir,3.100.000 TL,65,60,1 + 1,1,3 Katlı,Yüksek Giriş,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,Doğu,,https://www.hepsiemlak.com/izmir-buca-sirinkapi-satilik/daire/170300-1
71170-512,Efeler,Didim,Aydın,21.750.000 TL,160,140,4 + 1,3,2 Katlı,Bahçe Katı,Sıfır Bina,Klima,,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/aydin-didim-efeler-satilik/villa/71170-512
155994-75,Beyobası,Köyceğiz,Muğla,30.000.000 TL,205,200,4 + 1,2,2 Katlı,Bahçe Katı,4 Yaşında,Klima,Eşyalı,Mülk Sahibi,Müstakil Tapulu,,,https://www.hepsiemlak.com/mugla-koycegiz-beyobasi-satilik/villa/155994-75
119442-1694,Gültepe,Altındağ,Ankara,4.520.000 TL,110,90,2 + 1,1,7 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/ankara-altindag-gultepe-satilik/daire/119442-1694
