ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
137998-315,Adnan Kahveci,Beylikdüzü,İstanbul,5.400.000 TL,100,85,2 + 1,2,3 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-adnan-kahveci-satilik/daire/137998-315
49109-4178,Güzelçamlı,Kuşadası,Aydın,4.250.000 TL,120,100,3 + 1,1,4 Katlı,4. Kat,18 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",250 TL,https://www.hepsiemlak.com/aydin-kusadasi-guzelcamli-satilik/daire/49109-4178
160488-187,Tepeköy,Torbalı,İzmir,2.890.000 TL,110,100,2 + 1,1,4 Katlı,2. Kat,16 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,200 TL,https://www.hepsiemlak.com/izmir-torbali-tepekoy-satilik/daire/160488-187
134686-2212,Paşa Alanı,Karesi,Balıkesir,3.850.000 TL,62,57,2 + 1,1,2 Katlı,Yüksek Giriş,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Batı",,https://www.hepsiemlak.com/balikesir-karesi-pasa-alani-satilik/daire/134686-2212
134686-2214,Paşa Alanı,Karesi,Balıkesir,3.800.000 TL,62,57,2 + 1,1,3 Katlı,2. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Batı",,https://www.hepsiemlak.com/balikesir-karesi-pasa-alani-satilik/daire/134686-2214
134686-2216,Paşa Alanı,Karesi,Balıkesir,2.750.000 TL,45,40,1 + 1,1,3 Katlı,3. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Batı",,https://www.hepsiemlak.com/balikesir-karesi-pasa-alani-satilik/daire/134686-2216
17215-718,Bayraktar,Çankaya,Ankara,29.500.000 TL,500,350,4 + 1,3,10 Katlı,10. Kat,30 Yaşında,Merkezi,,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",14.000 TL,https://www.hepsiemlak.com/ankara-cankaya-bayraktar-satilik/daire/17215-718
113784-2436,Ayvalı,Keçiören,Ankara,9.995.000 TL,198,180,4 + 1,2,13 Katlı,13. Kat,10 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",500 TL,https://www.hepsiemlak.com/ankara-kecioren-ayvali-satilik/daire/113784-2436
138321-1161,Çınar,Esenyurt,İstanbul,2.900.000 TL,110,88,2 + 1,2,4 Katlı,Ara Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-esenyurt-cinar-satilik/daire/138321-1161
138321-1076,Güzelyurt,Esenyurt,İstanbul,4.399.000 TL,185,170,3 + 2,2,4 Katlı,3. Kat,8 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/138321-1076
122234-1157,Emniyet,Yenimahalle,Ankara,9.750.000 TL,82,53,1 + 1,1,8 Katlı,8. Kat,3 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Tapu Yok,"Kuzey, Doğu",,https://www.hepsiemlak.com/ankara-yenimahalle-emniyet-satilik/daire/122234-1157
143901-274,Türkmen,Kuşadası,Aydın,7.250.000 TL,95,75,2 + 1,1,5 Katlı,3. Kat,16 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,Batı,2.000 TL,https://www.hepsiemlak.com/aydin-kusadasi-turkmen-satilik/daire/143901-274
134691-80,Koyunbaba,Bodrum,Muğla,20.750.000 TL,300,220,4 + 1,2,,Bahçe Katı,21 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Batı,3.500 TL,https://www.hepsiemlak.com/mugla-bodrum-koyunbaba-satilik/mustakil-ev/134691-80
