ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
3990-3693,Altıntepe,Maltepe,İstanbul,12.750.000 TL,165,140,3 + 1,2,4 Katlı,4. Kat,10 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Doğu,,https://www.hepsiemlak.com/istanbul-maltepe-altintepe-satilik/daire/3990-3693
169853-34,Çırçır,Eyüpsultan,İstanbul,8.700.000 TL,150,135,3 + 2,2,9 Katlı,9. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",750 TL,https://www.hepsiemlak.com/istanbul-eyupsultan-circir-satilik/daire/169853-34
135098-558,Altınşehir,Ümraniye,İstanbul,9.950.000 TL,158,143,3 + 1,3,3 Katlı,3. Kat,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Kuzey, Güney",,https://www.hepsiemlak.com/istanbul-umraniye-altinsehir-satilik/daire/135098-558
162168-82,Yıldıztepe,Bağcılar,İstanbul,5.500.000 TL,85,80,2 + 1,1,3 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-bagcilar-yildiztepe-satilik/daire/162168-82
155606-316,Yenişehir,Pendik,İstanbul,6.350.000 TL,77,56,1 + 1,1,9 Katlı,Bahçe Katı,2 Yaşında,Yerden Isıtma,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Doğu",4.000 TL,https://www.hepsiemlak.com/istanbul-pendik-yenisehir-satilik/daire/155606-316
142265-441,Güzelyurt,Esenyurt,İstanbul,3.100.000 TL,90,80,2 + 1,1,6 Katlı,Giriş Katı,7 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,400 TL,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/142265-441
131423-70,Karadolap,Eyüpsultan,İstanbul,10.500.000 TL,245,210,4 + 2,2,5 Katlı,4. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",250 TL,https://www.hepsiemlak.com/istanbul-eyupsultan-karadolap-satilik/daire/131423-70
5734-2850,Küçükyalı,Maltepe,İstanbul,12.200.000 TL,85,75,2 + 1,1,4 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Tapu Yok,Güney,,https://www.hepsiemlak.com/istanbul-maltepe-kucukyali-satilik/daire/5734-2850
165076-224,Zübeyde Hanım,Sultangazi,İstanbul,3.650.000 TL,140,130,4 + 1,1,5 Katlı,Bahçe Katı,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-sultangazi-zubeyde-hanim-satilik/daire/165076-224
169481-33,Fatih,Pendik,İstanbul,5.350.000 TL,130,110,3 + 1,1,5 Katlı,3. Kat,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-pendik-fatih-satilik/daire/169481-33
164415-136,Kavaklı,Beylikdüzü,İstanbul,7.350.000 TL,220,190,4 + 2,2,4 Katlı,4. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Güney,1.000 TL,https://www.hepsiemlak.com/istanbul-beylikduzu-kavakli-satilik/daire/164415-136
148212-192,Merkez,Avcılar,İstanbul,6.700.000 TL,120,100,2 + 1,2,6 Katlı,5. Kat,3 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-avcilar-merkez-satilik/daire/148212-192
170391-2,Kamiloba,Büyükçekmece,İstanbul,4.350.000 TL,85,70,2 + 1,1,5 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,500 TL,https://www.hepsiemlak.com/istanbul-buyukcekmece-kamiloba-satilik/daire/170391-2
43372-3501,Zafer,Bahçelievler,İstanbul,9.350.000 TL,175,165,3 + 2,3,4 Katlı,4. Kat,5 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Doğu",,https://www.hepsiemlak.com/istanbul-bahcelievler-zafer-satilik/daire/43372-3501
1191-9923,Sahrayı Cedit,Kadıköy,İstanbul,26.500.000 TL,200,160,4 + 1,2,15 Katlı,1. Kat,26 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",7.000 TL,https://www.hepsiemlak.com/istanbul-kadikoy-sahrayi-cedit-satilik/daire/1191-9923
91631-252,Kurtköy,Pendik,İstanbul,14.000.000 TL,230,175,5 + 2,2,4 Katlı,3. Kat,10 Yaşında,Yerden Isıtma,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Güney, Doğu, Batı",300 TL,https://www.hepsiemlak.com/istanbul-pendik-kurtkoy-satilik/daire/91631-252
25872-532,Hamidiye,Kağıthane,İstanbul,14.000.000 TL,125,120,3 + 1,1,11 Katlı,10. Kat,26 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu",2.500 TL,https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-satilik/daire/25872-532
54389-3069,Ekşioğlu,Çekmeköy,İstanbul,10.800.000 TL,280,240,5 + 2,2,4 Katlı,4. Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-cekmekoy-eksioglu-satilik/daire/54389-3069
165186-367,Gazi,Sultangazi,İstanbul,3.650.000 TL,85,80,2 + 1,1,5 Katlı,Bahçe Katı,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Kuzey, Güney",,https://www.hepsiemlak.com/istanbul-sultangazi-gazi-satilik/daire/165186-367
0-46910906,Yenişehir,Pendik,İstanbul,7.890.000 TL,85,57,2 + 1,1,6 Katlı,2. Kat,11 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Güney,5.600 TL,https://www.hepsiemlak.com/istanbul-pendik-yenisehir-satilik/daire/0-46910906
133139-2067,Alemdağ,Çekmeköy,İstanbul,4.890.000 TL,119,102,3 + 1,2,4 Katlı,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Kiracılı,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-cekmekoy-alemdag-satilik/daire/133139-2067
102799-1512,Atakent,Küçükçekmece,İstanbul,6.650.000 TL,62,60,1 + 1,1,14 Katlı,7. Kat,19 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Batı,5.750 TL,https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-satilik/daire/102799-1512
6060-44387,Aydınevler,Maltepe,İstanbul,8.400.000 TL,85,75,2 + 1,1,4 Katlı,Yüksek Giriş,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,1.520 TL,https://www.hepsiemlak.com/istanbul-maltepe-aydinevler-satilik/daire/6060-44387
115755-285,Sinanoba,Büyükçekmece,İstanbul,9.000.000 TL,160,148,3 + 1,2,8 Katlı,1. Kat,26 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Doğu,3.000 TL,https://www.hepsiemlak.com/istanbul-buyukcekmece-sinanoba-satilik/daire/115755-285
62823-8384,Suadiye,Kadıköy,İstanbul,26.500.000 TL,140,105,3 + 1,2,9 Katlı,4. Kat,8 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/62823-8384
169999-27,Zafer,Esenyurt,İstanbul,8.250.000 TL,170,150,3 + 1,2,15 Katlı,8. Kat,6 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-esenyurt-zafer-satilik/daire/169999-27
1100-13183,Suadiye,Kadıköy,İstanbul,89.500.000 TL,250,190,3 + 1,3,4 Katlı,Bahçe Katı,10 Yaşında,Fancoil Ünitesi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",39.000 TL,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/1100-13183
38443-4467,Adil,Sultanbeyli,İstanbul,6.500.000 TL,105,85,3 + 1,2,7 Katlı,4. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Batı",,https://www.hepsiemlak.com/istanbul-sultanbeyli-adil-satilik/daire/38443-4467
81705-11730,Hürriyet,Bahçelievler,İstanbul,4.900.000 TL,75,56,2 + 1,1,5 Katlı,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney",,https://www.hepsiemlak.com/istanbul-bahcelievler-hurriyet-satilik/daire/81705-11730
2137-28701,Feneryolu,Kadıköy,İstanbul,16.500.000 TL,135,125,3 + 1,1,6 Katlı,6. Kat,46 Yaşında,Merkezi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Doğu, Batı",2.600 TL,https://www.hepsiemlak.com/istanbul-kadikoy-feneryolu-satilik/daire/2137-28701
123596-270,Güvercintepe,Başakşehir,İstanbul,6.678.000 TL,195,170,4 + 1,2,5 Katlı,5. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",300 TL,https://www.hepsiemlak.com/istanbul-basaksehir-guvercintepe-satilik/daire/123596-270
128533-78,Hürriyet,Kartal,İstanbul,4.350.000 TL,90,70,2 + 1,1,10 Katlı,Bahçe Katı,21 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Batı",1.700 TL,https://www.hepsiemlak.com/istanbul-kartal-hurriyet-satilik/daire/128533-78
139746-719,Göztepe,Kadıköy,İstanbul,12.950.000 TL,110,90,2 + 1,2,11 Katlı,Yüksek Giriş,25 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/139746-719
166418-82,Kocasinan Merkez,Bahçelievler,İstanbul,7.250.000 TL,100,90,3 + 1,2,5 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Güney, Batı",,https://www.hepsiemlak.com/istanbul-bahcelievler-kocasinan-merkez-satilik/daire/166418-82
130054-924,Göztepe,Kadıköy,İstanbul,25.950.000 TL,145,103,3 + 1,2,11 Katlı,4. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/130054-924
156043-145,Bostancı,Kadıköy,İstanbul,11.350.000 TL,80,64,2 + 1,1,14 Katlı,5. Kat,2 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,2.000 TL,https://www.hepsiemlak.com/istanbul-kadikoy-bostanci-satilik/daire/156043-145
142540-438,Mimar Sinan,Sultanbeyli,İstanbul,7.250.000 TL,125,115,3 + 1,2,7 Katlı,2. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Yabancıdan,Güney,500 TL,https://www.hepsiemlak.com/istanbul-sultanbeyli-mimar-sinan-satilik/daire/142540-438
131435-342,Mimar Sinan Merkez,Büyükçekmece,İstanbul,13.500.000 TL,250,190,3 + 10,3,4 Katlı,En Üst Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-buyukcekmece-mimar-sinan-merkez-satilik/daire/131435-342
152700-1012,Soğanlı,Bahçelievler,İstanbul,2.900.000 TL,90,85,2 + 1,1,6 Katlı,Ara Kat,29 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Hisseli Tapu,"Doğu, Batı",1 TL,https://www.hepsiemlak.com/istanbul-bahcelievler-soganli-satilik/daire/152700-1012
39955-1794,Kocatepe,Bayrampaşa,İstanbul,11.850.000 TL,180,170,4 + 2,2,4 Katlı,3. Kat,26 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Yabancıdan,,,https://www.hepsiemlak.com/istanbul-bayrampasa-kocatepe-satilik/daire/39955-1794
169082-24,Pınartepe,Büyükçekmece,İstanbul,4.150.000 TL,90,65,1 + 1,1,5 Katlı,4. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Güney,1.500 TL,https://www.hepsiemlak.com/istanbul-buyukcekmece-pinartepe-satilik/daire/169082-24
169766-24,Çırpıcı,Zeytinburnu,İstanbul,4.750.000 TL,78,72,2 + 1,1,5 Katlı,4. Kat,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-zeytinburnu-cirpici-satilik/daire/169766-24
159353-223,İcadiye,Üsküdar,İstanbul,17.000.000 TL,200,185,3 + 2,1,4 Katlı,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-uskudar-icadiye-satilik/daire/159353-223
32674-4340,Esenyalı,Pendik,İstanbul,4.400.000 TL,100,87,2 + 1,1,4 Katlı,Yüksek Giriş,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,Güney,350 TL,https://www.hepsiemlak.com/istanbul-pendik-esenyali-satilik/daire/32674-4340
136233-695,İnönü,Esenyurt,İstanbul,2.200.000 TL,100,90,2 + 1,2,4 Katlı,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,300 TL,https://www.hepsiemlak.com/istanbul-esenyurt-inonu-satilik/daire/136233-695
100355-189,Fındıklı,Maltepe,İstanbul,5.200.000 TL,120,100,3 + 1,1,7 Katlı,6. Kat,21 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Arsa,Güney,,https://www.hepsiemlak.com/istanbul-maltepe-findikli-satilik/daire/100355-189
150797-137,Cennet,Küçükçekmece,İstanbul,14.600.000 TL,130,110,3 + 1,2,9 Katlı,1. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",1.000 TL,https://www.hepsiemlak.com/istanbul-kucukcekmece-cennet-satilik/daire/150797-137
8525-57440,Teşvikiye,Şişli,İstanbul,134.500.000 TL,563,450,5 + 1,5,9 Katlı,6. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-satilik/residence/8525-57440
140374-234,Yeşilköy,Bakırköy,İstanbul,52.000.000 TL,350,220,3 + 1,2,5 Katlı,Bahçe Katı,26 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Yabancıdan,"Kuzey, Güney, Batı",,https://www.hepsiemlak.com/istanbul-bakirkoy-yesilkoy-satilik/daire/140374-234
