ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
165530-47,Hamidiye,Kağıthane,İstanbul,22.500.000 TL,123,103,2 + 1,2,11 Katlı,11. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-satilik/daire/165530-47
169706-7,Tatlısu,Ümraniye,İstanbul,10.900.000 TL,145,118,3 + 1,2,6 Katlı,Ara Kat,19 Yaşında,Kombi,,Mülk Sahibi,Kat İrtifakı,"Güney, Doğu, Batı",1.500 TL,https://www.hepsiemlak.com/istanbul-umraniye-tatlisu-satilik/daire/169706-7
4355-136890,Yenişehir,Pendik,İstanbul,5.900.000 TL,63,50,1 + 1,1,9 Katlı,3. Kat,13 Yaşında,Merkezi (Pay Öl...,Eşyalı,Kiracılı,Kat Mülkiyeti,"Güney, Batı",4.750 TL,https://www.hepsiemlak.com/istanbul-pendik-yenisehir-satilik/daire/4355-136890
144252-13,Zafer,Bahçelievler,İstanbul,5.800.000 TL,75,60,2 + 1,1,4 Katlı,2. Kat,3 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-bahcelievler-zafer-satilik/daire/144252-13
1003-13857,Bağlarbaşı,Maltepe,İstanbul,9.350.000 TL,90,78,2 + 1,1,4 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Batı,750 TL,https://www.hepsiemlak.com/istanbul-maltepe-baglarbasi-satilik/daire/1003-13857
42096-5791,Göztepe,Kadıköy,İstanbul,23.510.000 TL,130,100,3 + 1,1,6 Katlı,4. Kat,16 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/42096-5791
138425-132,Cumhuriyet,Bahçelievler,İstanbul,6.550.000 TL,90,80,2 + 1,2,5 Katlı,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-bahcelievler-cumhuriyet-satilik/daire/138425-132
164651-48,Yayalar,Pendik,İstanbul,11.500.000 TL,155,140,3 + 2,2,8 Katlı,8. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-pendik-yayalar-satilik/daire/164651-48
154246-80,Yenimahalle,Bağcılar,İstanbul,6.500.000 TL,105,95,3 + 1,1,12 Katlı,5. Kat,15 Yaşında,Merkezi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,,2.000 TL,https://www.hepsiemlak.com/istanbul-bagcilar-yenimahalle-satilik/daire/154246-80
95208-261,Altayçeşme,Maltepe,İstanbul,12.500.000 TL,115,91,3 + 1,1,4 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Batı",,https://www.hepsiemlak.com/istanbul-maltepe-altaycesme-satilik/daire/95208-261
