iter	Passed	Remaining
0	23	23056
1	43	21799
2	66	22148
3	87	21881
4	92	18491
5	97	16112
6	116	16548
7	120	14972
8	144	15933
9	165	16335
10	189	17051
11	201	16620
12	227	17277
13	252	17749
14	256	16833
15	276	16995
16	302	17464
17	317	17340
18	332	17175
19	340	16694
20	364	17011
21	369	16416
22	393	16705
23	418	17001
24	441	17237
25	465	17439
26	473	17074
27	484	16833
28	493	16508
29	497	16082
30	501	15666
31	516	15633
32	528	15485
33	553	15718
34	577	15934
35	602	16142
36	607	15807
37	634	16075
38	658	16233
39	678	16279
40	682	15957
41	708	16151
42	713	15868
43	738	16043
44	765	16240
45	778	16144
46	803	16300
47	809	16057
48	835	16220
49	859	16331
50	864	16088
51	891	16255
52	908	16239
53	913	16005
54	940	16153
55	964	16256
56	993	16429
57	1025	16652
58	1051	16775
59	1069	16749
60	1095	16862
61	1120	16952
62	1145	17040
63	1172	17142
64	1199	17247
65	1224	17331
66	1240	17279
67	1265	17341
68	1276	17228
69	1302	17300
70	1322	17310
71	1343	17320
72	1368	17378
73	1392	17421
74	1418	17499
75	1442	17538
76	1462	17536
77	1488	17597
78	1513	17644
79	1539	17706
80	1564	17749
81	1588	17780
82	1612	17817
83	1638	17869
84	1663	17910
85	1689	17950
86	1715	18002
87	1739	18026
88	1764	18058
89	1787	18072
90	1806	18047
91	1830	18064
92	1852	18070
93	1877	18094
94	1902	18121
95	1930	18178
96	1954	18197
97	1974	18177
98	1999	18196
99	2011	18105
100	2036	18129
101	2060	18138
102	2085	18160
103	2109	18172
104	2135	18199
105	2160	18220
106	2183	18226
107	2209	18250
108	2235	18273
109	2260	18290
110	2285	18302
111	2308	18305
112	2334	18327
113	2360	18349
114	2385	18355
115	2410	18369
116	2433	18367
117	2458	18378
118	2484	18396
119	2508	18395
120	2532	18397
121	2555	18393
122	2582	18415
123	2608	18428
124	2632	18424
125	2657	18432
126	2682	18436
127	2707	18442
128	2731	18445
129	2757	18456
130	2782	18456
131	2808	18471
132	2834	18480
133	2859	18481
134	2890	18521
135	2917	18533
136	2943	18540
137	2969	18551
138	2994	18551
139	3020	18553
140	3044	18545
141	3069	18546
142	3106	18620
143	3141	18672
144	3165	18667
145	3190	18661
146	3215	18656
147	3239	18649
148	3264	18644
149	3289	18641
150	3313	18632
151	3338	18626
152	3363	18620
153	3388	18612
154	3413	18608
155	3436	18592
156	3460	18582
157	3486	18580
158	3510	18567
159	3535	18559
160	3558	18544
161	3583	18536
162	3608	18531
163	3634	18524
164	3657	18509
165	3683	18504
166	3706	18489
167	3733	18491
168	3768	18529
169	3794	18525
170	3818	18513
171	3842	18496
172	3867	18488
173	3893	18483
174	3918	18472
175	3942	18457
176	3969	18456
177	3996	18455
178	4021	18442
179	4045	18429
180	4069	18415
181	4094	18401
182	4119	18391
183	4144	18382
184	4168	18363
185	4194	18356
186	4219	18343
187	4244	18330
188	4267	18312
189	4292	18297
190	4316	18281
191	4340	18266
192	4365	18254
193	4389	18236
194	4414	18222
195	4437	18203
196	4463	18194
197	4490	18188
198	4514	18172
199	4539	18156
200	4562	18136
201	4588	18125
202	4612	18107
203	4645	18128
204	4672	18119
205	4697	18104
206	4722	18091
207	4747	18075
208	4775	18072
209	4800	18060
210	4824	18040
211	4847	18018
212	4873	18006
213	4897	17989
214	4923	17975
215	4947	17958
216	4971	17938
217	4995	17920
218	5023	17914
219	5047	17896
220	5071	17877
221	5095	17855
222	5119	17838
223	5158	17871
224	5183	17853
225	5205	17827
226	5229	17806
227	5252	17785
228	5276	17764
229	5299	17741
230	5322	17719
231	5343	17689
232	5367	17669
233	5392	17650
234	5415	17627
235	5439	17607
236	5461	17584
237	5487	17568
238	5510	17547
239	5534	17525
240	5558	17504
241	5586	17496
242	5611	17482
243	5635	17461
244	5658	17437
245	5682	17416
246	5705	17393
247	5728	17370
248	5750	17345
249	5775	17325
250	5798	17302
251	5820	17276
252	5844	17257
253	5870	17240
254	5897	17229
255	5920	17207
256	5944	17185
257	5968	17166
258	5993	17146
259	6017	17125
260	6040	17103
261	6065	17085
262	6088	17062
263	6113	17044
264	6136	17020
265	6160	16999
266	6184	16977
267	6206	16952
268	6229	16929
269	6253	16907
270	6277	16887
271	6307	16880
272	6330	16857
273	6352	16831
274	6378	16815
275	6401	16793
276	6424	16768
277	6447	16744
278	6472	16725
279	6495	16701
280	6520	16683
281	6543	16660
282	6567	16640
283	6590	16615
284	6614	16594
285	6638	16572
286	6662	16550
287	6687	16532
288	6711	16510
289	6735	16490
290	6760	16471
291	6785	16451
292	6809	16430
293	6832	16407
294	6856	16385
295	6882	16370
296	6910	16356
297	6935	16337
298	6974	16351
299	7001	16336
300	7029	16323
301	7053	16302
302	7078	16282
303	7102	16261
304	7126	16240
305	7151	16218
306	7175	16197
307	7200	16178
308	7226	16159
309	7248	16134
310	7273	16112
311	7296	16090
312	7319	16066
313	7343	16043
314	7367	16020
315	7390	15997
316	7414	15975
317	7438	15953
318	7462	15931
319	7485	15907
320	7510	15886
321	7533	15863
322	7560	15846
323	7583	15822
324	7606	15797
325	7629	15773
326	7651	15747
327	7676	15728
328	7700	15705
329	7723	15681
330	7748	15660
331	7772	15638
332	7795	15614
333	7819	15592
334	7843	15570
335	7871	15555
336	7895	15534
337	7918	15509
338	7943	15487
339	7967	15466
340	7994	15448
341	8018	15426
342	8040	15401
343	8065	15380
344	8089	15357
345	8113	15336
346	8137	15313
347	8161	15291
348	8185	15268
349	8209	15246
350	8233	15223
351	8257	15201
352	8281	15178
353	8305	15156
354	8328	15132
355	8354	15113
356	8377	15089
357	8401	15065
358	8427	15046
359	8452	15025
360	8477	15006
361	8504	14988
362	8529	14968
363	8556	14949
364	8582	14931
365	8606	14908
366	8631	14888
367	8653	14861
368	8676	14836
369	8699	14812
370	8723	14789
371	8748	14768
372	8775	14750
373	8798	14727
374	8823	14705
375	8846	14681
376	8870	14658
377	8892	14632
378	8913	14605
379	8937	14582
380	8962	14560
381	8986	14538
382	9009	14514
383	9033	14490
384	9059	14472
385	9085	14452
386	9110	14430
387	9136	14410
388	9160	14388
389	9183	14364
390	9208	14342
391	9232	14320
392	9257	14298
393	9281	14275
394	9304	14251
395	9328	14228
396	9354	14207
397	9377	14183
398	9401	14161
399	9424	14136
400	9449	14115
401	9474	14093
402	9498	14070
403	9521	14047
404	9547	14026
405	9571	14003
406	9595	13980
407	9619	13958
408	9643	13934
409	9668	13913
410	9691	13888
411	9714	13864
412	9741	13845
413	9765	13822
414	9789	13800
415	9813	13777
416	9839	13756
417	9866	13737
418	9889	13712
419	9911	13687
420	9934	13663
421	9958	13639
422	9980	13614
423	10005	13592
424	10029	13569
425	10054	13547
426	10081	13528
427	10105	13504
428	10130	13484
429	10155	13462
430	10181	13441
431	10205	13418
432	10229	13394
433	10255	13374
434	10281	13353
435	10305	13330
436	10330	13308
437	10357	13289
438	10381	13266
439	10408	13247
440	10433	13224
441	10457	13202
442	10485	13183
443	10509	13160
444	10535	13139
445	10560	13117
446	10585	13095
447	10610	13073
448	10634	13050
449	10659	13028
450	10684	13005
451	10708	12982
452	10733	12960
453	10757	12937
454	10782	12914
455	10806	12892
456	10831	12869
457	10856	12847
458	10880	12824
459	10903	12800
460	10928	12777
461	10954	12756
462	10979	12733
463	11005	12713
464	11035	12696
465	11063	12677
466	11090	12657
467	11116	12637
468	11143	12616
469	11166	12592
470	11191	12569
471	11216	12547
472	11241	12525
473	11268	12504
474	11292	12481
475	11316	12458
476	11341	12435
477	11365	12412
478	11390	12389
479	11416	12367
480	11444	12348
481	11471	12327
482	11494	12304
483	11520	12282
484	11547	12261
485	11570	12237
486	11594	12213
487	11619	12190
488	11648	12172
489	11675	12152
490	11702	12131
491	11727	12108
492	11753	12086
493	11779	12066
494	11806	12045
495	11833	12024
496	11862	12005
497	11886	11982
498	11911	11958
499	11936	11936
500	11960	11912
501	11984	11889
502	12010	11866
503	12034	11843
504	12059	11820
505	12083	11797
506	12107	11772
507	12134	11752
508	12157	11728
509	12180	11703
510	12204	11679
511	12228	11655
512	12254	11633
513	12280	11611
514	12305	11588
515	12329	11565
516	12353	11541
517	12376	11516
518	12402	11494
519	12426	11470
520	12449	11446
521	12476	11425
522	12500	11401
523	12527	11380
524	12552	11356
525	12577	11333
526	12603	11311
527	12627	11288
528	12652	11265
529	12677	11242
530	12702	11219
531	12727	11195
532	12750	11171
533	12776	11149
534	12800	11125
535	12826	11103
536	12851	11080
537	12876	11057
538	12899	11033
539	12926	11011
540	12950	10987
541	12975	10964
542	13000	10941
543	13025	10918
544	13050	10895
545	13076	10873
546	13102	10850
547	13128	10828
548	13154	10806
549	13179	10783
550	13204	10760
551	13230	10737
552	13255	10714
553	13281	10692
554	13304	10667
555	13331	10645
556	13356	10623
557	13380	10599
558	13406	10576
559	13431	10553
560	13455	10529
561	13479	10505
562	13502	10480
563	13529	10458
564	13553	10435
565	13576	10410
566	13603	10388
567	13628	10365
568	13652	10341
569	13690	10327
570	13715	10304
571	13741	10282
572	13765	10258
573	13790	10234
574	13816	10212
575	13841	10188
576	13868	10166
577	13891	10142
578	13915	10117
579	13943	10096
580	13967	10072
581	13992	10049
582	14017	10026
583	14040	10001
584	14066	9978
585	14089	9954
586	14114	9930
587	14140	9908
588	14165	9884
589	14190	9861
590	14216	9838
591	14240	9814
592	14264	9790
593	14286	9764
594	14310	9740
595	14336	9717
596	14360	9693
597	14385	9670
598	14411	9647
599	14436	9624
600	14462	9601
601	14484	9575
602	14507	9551
603	14534	9529
604	14558	9504
605	14583	9481
606	14608	9458
607	14632	9434
608	14657	9410
609	14681	9386
610	14705	9362
611	14732	9339
612	14755	9315
613	14780	9292
614	14805	9268
615	14831	9245
616	14856	9222
617	14880	9198
618	14903	9173
619	14927	9149
620	14950	9124
621	14973	9099
622	14998	9076
623	15024	9053
624	15051	9030
625	15077	9007
626	15104	8985
627	15135	8965
628	15162	8943
629	15189	8920
630	15215	8897
631	15238	8872
632	15262	8848
633	15287	8825
634	15311	8801
635	15335	8776
636	15358	8752
637	15381	8727
638	15406	8703
639	15429	8679
640	15453	8654
641	15477	8630
642	15501	8606
643	15527	8583
644	15551	8559
645	15577	8536
646	15604	8513
647	15629	8490
648	15655	8466
649	15681	8443
650	15707	8420
651	15732	8397
652	15762	8375
653	15786	8352
654	15814	8329
655	15841	8307
656	15868	8284
657	15892	8260
658	15918	8237
659	15944	8213
660	15969	8190
661	15996	8167
662	16022	8143
663	16048	8120
664	16073	8097
665	16098	8073
666	16125	8050
667	16150	8026
668	16174	8002
669	16201	7979
670	16225	7955
671	16250	7931
672	16273	7907
673	16295	7881
674	16319	7857
675	16344	7833
676	16369	7810
677	16395	7786
678	16422	7763
679	16447	7739
680	16471	7715
681	16496	7691
682	16521	7668
683	16545	7644
684	16568	7619
685	16592	7594
686	16616	7570
687	16638	7545
688	16661	7520
689	16684	7495
690	16708	7471
691	16732	7447
692	16756	7423
693	16782	7399
694	16807	7375
695	16831	7351
696	16854	7327
697	16878	7302
698	16902	7278
699	16925	7253
700	16960	7234
701	16989	7212
702	17014	7188
703	17037	7163
704	17061	7139
705	17085	7114
706	17108	7090
707	17132	7065
708	17155	7041
709	17178	7016
710	17202	6992
711	17226	6968
712	17250	6943
713	17273	6919
714	17297	6894
715	17320	6870
716	17343	6845
717	17366	6820
718	17389	6796
719	17413	6772
720	17437	6747
721	17460	6722
722	17484	6698
723	17508	6674
724	17531	6649
725	17555	6625
726	17579	6601
727	17605	6577
728	17628	6553
729	17652	6529
730	17676	6504
731	17701	6480
732	17724	6456
733	17747	6431
