iter	RMSE
0	15.11911471
1	14.42848606
2	13.76731041
3	13.10971513
4	12.46218829
5	11.84698886
6	11.28036568
7	10.72421537
8	10.2185997
9	9.73561126
10	9.283880552
11	8.835019704
12	8.426893187
13	8.034631094
14	7.641645069
15	7.286787008
16	6.951299918
17	6.619819985
18	6.30436996
19	6.001133496
20	5.735113028
21	5.458983375
22	5.215884123
23	4.982429226
24	4.760256127
25	4.548830783
26	4.335620526
27	4.135433141
28	3.943665806
29	3.76068122
30	3.587403984
31	3.428296991
32	3.273969752
33	3.134620279
34	3.003463724
35	2.882362715
36	2.756030686
37	2.64505798
38	2.536839993
39	2.433995301
40	2.332396819
41	2.243270469
42	2.152735312
43	2.072662562
44	2.001355781
45	1.925783494
46	1.855741233
47	1.788128708
48	1.730197002
49	1.670090753
50	1.613691066
51	1.56134157
52	1.509133138
53	1.462589269
54	1.419262884
55	1.378097386
56	1.336542911
57	1.298562236
58	1.263606189
59	1.226224634
60	1.194852699
61	1.164009439
62	1.135238754
63	1.109478419
64	1.082891703
65	1.058983017
66	1.034927089
67	1.013177172
68	0.9919133092
69	0.9720223953
70	0.952614935
71	0.9338746605
72	0.9167861143
73	0.9003931721
74	0.8869869194
75	0.8735244746
76	0.8562060546
77	0.8395130028
78	0.8236764471
79	0.8095340278
80	0.7946994717
81	0.7793573324
82	0.7664368594
83	0.7540871414
84	0.7425745
85	0.7286678071
86	0.7156191307
87	0.7043430815
88	0.6928549731
89	0.6826562796
90	0.6737862995
91	0.6676962013
92	0.6590982773
93	0.6510726444
94	0.6449232327
95	0.6377276524
96	0.6304994734
97	0.6217834766
98	0.6148701865
99	0.6101016966
100	0.6029288579
101	0.5969431976
102	0.5911935602
103	0.5845901679
104	0.5791522041
105	0.5752167178
106	0.5705351929
107	0.5657209966
108	0.5622432609
109	0.5578867362
110	0.5535459432
111	0.550023741
112	0.5460020683
113	0.5418943729
114	0.5379131393
115	0.5339831798
116	0.5290388291
117	0.5260718585
118	0.5227530737
119	0.5185125595
120	0.5152327468
121	0.5115561288
122	0.5076445195
123	0.5042755887
124	0.501123385
125	0.4987501133
126	0.4954922472
127	0.492677001
128	0.4906031738
129	0.4886980792
130	0.4860016701
131	0.48345022
132	0.480772383
133	0.4787893993
134	0.4763452785
135	0.4745523321
136	0.472566217
137	0.4694883231
138	0.467213826
139	0.4649043096
140	0.4629033755
141	0.4605985851
142	0.4583449487
143	0.4559322036
144	0.4538516313
145	0.451888085
146	0.4505250485
147	0.4482985104
148	0.446627574
149	0.4448044697
150	0.4418545487
151	0.4395072436
152	0.4379569307
153	0.4358782083
154	0.4345129357
155	0.4332545759
156	0.4308886934
157	0.4288003574
158	0.4273006474
159	0.4257728049
160	0.4242166736
161	0.4228433559
162	0.4216062814
163	0.4203865422
164	0.419193777
165	0.4172882597
166	0.4161801065
167	0.4151966749
168	0.4137335377
169	0.4124619188
170	0.4114559236
171	0.4094723851
172	0.4089240984
173	0.4070276755
174	0.4056409994
175	0.404588623
176	0.4035097587
177	0.4022727655
178	0.3999939707
179	0.3990697206
180	0.3981876181
181	0.3965255333
182	0.3958064648
183	0.3946856426
184	0.3931221482
185	0.3924692338
186	0.3917641313
187	0.3911812576
188	0.390567158
189	0.3891608787
190	0.3878530969
191	0.3868770934
192	0.3862660119
193	0.3857923296
194	0.3843063157
195	0.3834631654
196	0.3828394752
197	0.3822879361
198	0.3806724177
199	0.3794997677
200	0.3783499518
201	0.3766886375
202	0.3750486938
203	0.3746309683
204	0.3736188233
205	0.3726592985
206	0.37220308
207	0.3712374766
208	0.3692203421
209	0.3680829432
210	0.3674777214
211	0.3660575938
212	0.3650197965
213	0.3647554504
214	0.3641471054
215	0.363019803
216	0.3625466069
217	0.3610629028
218	0.3602407601
219	0.3598761496
220	0.3596728305
221	0.3577036422
222	0.3573987568
223	0.3559702946
224	0.3557592485
225	0.3555986658
226	0.3548338702
227	0.3535436104
228	0.352366725
229	0.3514265688
230	0.3499949962
231	0.3484769611
232	0.347373686
233	0.3470799912
234	0.3465947663
235	0.3456046924
236	0.3440722509
237	0.3422578529
238	0.3411009739
239	0.3404900975
240	0.3393874192
241	0.3392125428
242	0.3387405651
243	0.3382233699
244	0.3378825381
245	0.3369404215
246	0.3367042571
247	0.3363127206
248	0.3354991783
249	0.3348934066
250	0.3338835416
251	0.3327457043
252	0.3319830479
253	0.3308368198
254	0.3306640969
255	0.3295081014
256	0.3286595602
257	0.3278100784
258	0.3274852175
259	0.325949252
260	0.3243751722
261	0.3232037218
262	0.3229049239
263	0.3222796863
264	0.3217264628
265	0.3210870934
266	0.3204128121
267	0.3198191882
268	0.3196801024
269	0.3194178866
270	0.3179687733
271	0.3174207665
272	0.3164136997
273	0.3153823063
274	0.3151960546
275	0.3139242117
276	0.3135931152
277	0.3125873261
278	0.3123690801
279	0.3113899334
280	0.3100654388
281	0.309765046
282	0.3088629527
283	0.3081457507
284	0.3077596524
285	0.3064757299
286	0.306017548
287	0.3055457407
288	0.3051164153
289	0.3049488416
290	0.3040357339
291	0.3029490346
292	0.3018834152
293	0.3015876885
294	0.3011679045
295	0.2997694171
296	0.2992323929
297	0.2983912478
298	0.2974033489
299	0.2970072756
300	0.2964545173
301	0.2960678629
302	0.2955216161
303	0.2948458124
304	0.2939976344
305	0.2935045671
306	0.2927589852
307	0.2923369132
308	0.291194034
309	0.2908089065
310	0.2903309658
311	0.2900978499
312	0.2899637117
313	0.2891512413
314	0.2888936957
315	0.2883958074
316	0.2882000725
317	0.2873216045
318	0.2867016515
319	0.2858961374
320	0.2852867962
321	0.2843297193
322	0.283932883
323	0.2832479952
324	0.2827645553
325	0.2818119543
326	0.2816755921
327	0.2806949231
328	0.2800191591
329	0.2790068938
330	0.2787009329
