iter	RMSE
0	15.08867299
1	14.39610157
2	13.73428872
3	13.07993034
4	12.43405334
5	11.82043065
6	11.25672221
7	10.70194657
8	10.20335546
9	9.719575479
10	9.267244402
11	8.821179597
12	8.412734788
13	8.023139641
14	7.631014849
15	7.283307677
16	6.943174951
17	6.627196118
18	6.307668426
19	6.020659944
20	5.731062192
21	5.479386541
22	5.229841546
23	4.983461361
24	4.770551909
25	4.547556507
26	4.336573956
27	4.143808305
28	3.950186496
29	3.775612992
30	3.608160296
31	3.454183234
32	3.296618485
33	3.157808403
34	3.026710919
35	2.901164978
36	2.776750962
37	2.656190202
38	2.541772484
39	2.445611998
40	2.342983531
41	2.250546212
42	2.162202763
43	2.076721
44	1.99646634
45	1.918994278
46	1.850599182
47	1.787173746
48	1.72237334
49	1.659640069
50	1.604559124
51	1.551619545
52	1.499629544
53	1.455363251
54	1.407249905
55	1.362772931
56	1.322363281
57	1.28388058
58	1.246417209
59	1.213617528
60	1.182767025
61	1.15165296
62	1.124796695
63	1.098655084
64	1.073313648
65	1.049606709
66	1.027447405
67	1.007293433
68	0.986680722
69	0.9667235957
70	0.9494898469
71	0.9333913586
72	0.9117677094
73	0.8944351908
74	0.876562567
75	0.8589686966
76	0.8444978338
77	0.8303032304
78	0.8163832613
79	0.8038292746
80	0.7896153562
81	0.7751731999
82	0.7634306997
83	0.7500000857
84	0.7373923598
85	0.726305537
86	0.717664352
87	0.7087431016
88	0.6994681355
89	0.6910019341
90	0.6823612954
91	0.6729902239
92	0.665502104
93	0.6576590159
94	0.6505814468
95	0.6421452081
96	0.6351470477
97	0.6276969173
98	0.6196640954
99	0.6130067711
100	0.6066544261
101	0.6010696219
102	0.594911738
103	0.5893811805
104	0.5841729968
105	0.5765937698
106	0.5715300627
107	0.5665242008
108	0.5620670862
109	0.5580731943
110	0.5536357367
111	0.5484271842
112	0.5453704673
113	0.54041685
114	0.5364354449
115	0.5329799448
116	0.5293987046
117	0.5252120566
118	0.5223596688
119	0.5188564657
120	0.5156788451
121	0.5125950287
122	0.5096734973
123	0.5073153591
124	0.5035146406
125	0.5007054535
126	0.4988920248
127	0.4965561699
128	0.4936408321
129	0.491256783
130	0.4877520892
131	0.4845304648
132	0.4819440311
133	0.4795336493
134	0.4778690929
135	0.4757338512
136	0.473444894
137	0.4710206333
138	0.4689743982
139	0.4669500456
140	0.4642819744
141	0.4622938946
142	0.4604780573
143	0.4580531875
144	0.4558414997
145	0.4542230748
146	0.4508305402
147	0.4486429062
148	0.4475432293
149	0.4460827907
150	0.4444358598
151	0.4429907106
152	0.4412910058
153	0.4393898779
154	0.4377496309
155	0.4359335341
156	0.4340553885
157	0.4322941439
158	0.4304794568
159	0.4286592889
160	0.4266314519
161	0.4252393007
162	0.4235948329
163	0.4223653539
164	0.421009681
165	0.4200822221
166	0.4188846326
167	0.4174381755
168	0.4159706071
169	0.4146027188
170	0.4128448623
171	0.4110920226
172	0.409075603
173	0.4079749827
174	0.4067550873
175	0.4058552805
176	0.4040452006
177	0.4027029378
178	0.4014650943
179	0.4000249679
180	0.3983933964
181	0.3969690788
182	0.3958846607
183	0.3949745083
184	0.3933233687
185	0.3926123293
186	0.3911473778
187	0.3897743511
188	0.3876385307
189	0.3865402855
190	0.3851785379
191	0.3842357403
192	0.3832703119
193	0.381359225
194	0.3808167883
195	0.3801239403
196	0.3795504556
197	0.3783447603
198	0.3778791615
199	0.3769839676
200	0.3760893184
201	0.3749397128
202	0.3742033488
203	0.3726670042
204	0.3709867175
205	0.3704392949
206	0.3689053312
207	0.3683624279
208	0.3680425553
209	0.3669563243
210	0.3659018158
211	0.3644134681
212	0.3635233077
213	0.362686237
214	0.3619946641
215	0.3601245865
216	0.3591588691
217	0.3575844665
218	0.3569186646
219	0.3555860257
220	0.3544456902
221	0.3538150219
222	0.3525079275
223	0.3519745875
224	0.3505828283
225	0.3497818183
226	0.3480615305
227	0.3472067091
228	0.3463111187
229	0.3458782011
230	0.3449989053
231	0.3431374914
232	0.3420641302
233	0.3402178085
234	0.339614399
235	0.3392010047
236	0.3383490653
237	0.3378441396
238	0.3369756823
239	0.3356875438
240	0.3347492449
241	0.3331207244
242	0.332289873
243	0.3304531425
244	0.3300514229
245	0.3282834097
246	0.3276220769
247	0.3270394269
248	0.3264027015
249	0.3256818126
250	0.3245072016
251	0.3237789924
252	0.3225121174
253	0.3217739677
254	0.321489917
255	0.3211813548
256	0.3205872013
257	0.3195829606
258	0.3190440553
259	0.3178870318
260	0.3166250669
261	0.3159559398
262	0.3149850332
263	0.3133616512
264	0.3122738872
265	0.3120129541
266	0.3114802309
267	0.3106066271
268	0.3101144515
269	0.3095149573
270	0.3092340535
271	0.3088511356
272	0.308708306
273	0.3080567743
274	0.3073748647
275	0.3060692831
276	0.3058925425
277	0.3048140939
278	0.3046410419
279	0.3031853354
280	0.3028025226
281	0.3026398458
282	0.3011850917
283	0.3006968095
284	0.3005805932
285	0.3002815931
286	0.2997451484
287	0.2991827911
288	0.29779441
289	0.2972115665
290	0.2965905873
291	0.295673436
292	0.2945788738
293	0.2938485514
294	0.2933556454
295	0.2926514823
296	0.2921775851
297	0.2921008085
298	0.2913835841
299	0.2912972328
300	0.2904068576
301	0.289654084
302	0.2889478826
303	0.2880066889
304	0.2876308457
305	0.2875089486
306	0.2869634566
307	0.2863640031
308	0.2859662833
309	0.2849509526
310	0.2841957355
311	0.2836182859
312	0.2832640223
313	0.2831562225
314	0.2820389699
315	0.2808625863
316	0.2805049363
317	0.2797190527
318	0.2795751119
319	0.2787445713
320	0.2779284174
321	0.2776245438
322	0.276953332
323	0.2767059988
324	0.2760206941
325	0.2752077984
326	0.2749710864
327	0.2738249953
328	0.2731768571
329	0.2719668369
330	0.2710458574
331	0.2705857723
332	0.2698895997
333	0.2691332565
334	0.2685270068
335	0.2680552373
336	0.2673765082
337	0.2667198284
338	0.2662168583
339	0.2661145564
340	0.2658206551
341	0.2648368109
342	0.2640468824
343	0.2634296306
344	0.2633461032
345	0.262621555
346	0.2624280158
347	0.262236404
348	0.2619784626
349	0.2613189438
350	0.260952877
351	0.2608632517
352	0.2598800275
353	0.2590377799
354	0.2589643084
355	0.2583021771
356	0.2579696436
357	0.2576628242
358	0.2569316283
359	0.2564975051
360	0.2558502959
361	0.2553208489
362	0.2548335376
363	0.2547307542
364	0.2543930155
365	0.2537919845
366	0.2533977672
367	0.2525739545
368	0.2525129866
369	0.2518561833
370	0.2512002577
371	0.2507373424
372	0.249977888
373	0.2493125778
374	0.2492106099
375	0.248947529
376	0.2488623265
377	0.2488400358
378	0.2485851122
379	0.2481847184
380	0.2478006286
381	0.2465519577
382	0.2461919311
383	0.2458566641
384	0.2453649567
385	0.2450513284
386	0.2450350344
387	0.2444194459
388	0.2438595032
389	0.2434114094
390	0.2430284036
391	0.2420083749
392	0.2412116358
393	0.2410534441
394	0.2406684262
395	0.2403302455
396	0.2402477067
397	0.2400232584
398	0.2396238767
399	0.239195399
400	0.2389147447
401	0.2384390386
402	0.2380351219
403	0.2377258964
404	0.2371869403
405	0.236668049
406	0.2356024714
407	0.2348515306
408	0.2345790162
409	0.2343461756
410	0.2338559112
411	0.2333446979
412	0.232950066
413	0.2326986759
