iter	Passed	Remaining
0	22	22246
1	43	21474
2	73	24406
3	97	24219
4	103	20528
5	107	17821
6	123	17590
7	128	15914
8	162	17944
9	184	18254
10	212	19062
11	225	18570
12	251	19082
13	275	19436
14	280	18445
15	308	18950
16	334	19361
17	359	19588
18	368	19002
19	395	19402
20	404	18880
21	431	19186
22	459	19511
23	471	19190
24	497	19411
25	512	19198
26	526	18971
27	556	19313
28	561	18791
29	585	18921
30	609	19052
31	634	19205
32	639	18752
33	666	18935
34	692	19083
35	716	19199
36	733	19080
37	746	18900
38	750	18498
39	778	18688
40	790	18501
41	810	18493
42	835	18599
43	850	18486
44	869	18442
45	886	18377
46	914	18536
47	937	18590
48	951	18460
49	978	18594
50	1013	18858
51	1044	19041
52	1067	19066
53	1093	19151
54	1105	18997
55	1122	18922
56	1133	18756
57	1155	18761
58	1168	18633
59	1192	18679
60	1217	18736
61	1225	18545
62	1249	18578
63	1273	18630
64	1299	18689
65	1323	18728
66	1343	18706
67	1368	18759
68	1393	18796
69	1413	18783
70	1442	18880
71	1469	18938
72	1495	18988
73	1519	19010
74	1544	19046
75	1570	19096
76	1594	19114
77	1620	19151
78	1644	19171
79	1670	19208
80	1696	19246
81	1720	19266
82	1746	19295
83	1776	19375
84	1799	19368
85	1827	19421
86	1835	19263
87	1863	19311
88	1890	19348
89	1915	19363
90	1940	19384
91	1966	19404
92	1990	19415
93	2014	19412
94	2038	19417
95	2062	19423
96	2088	19446
97	2112	19446
98	2136	19440
99	2161	19456
100	2189	19490
101	2206	19424
102	2230	19424
103	2255	19429
104	2281	19450
105	2306	19456
106	2335	19492
107	2363	19523
108	2390	19539
109	2416	19550
110	2443	19568
111	2471	19593
112	2498	19615
113	2524	19620
114	2551	19634
115	2577	19641
116	2607	19679
117	2636	19704
118	2673	19791
119	2701	19810
120	2729	19830
121	2756	19839
122	2782	19836
123	2807	19834
124	2831	19820
125	2857	19823
126	2885	19833
127	2911	19833
128	2936	19827
129	2963	19830
130	2988	19821
131	3016	19836
132	3040	19823
133	3065	19811
134	3090	19804
135	3116	19796
136	3149	19842
137	3184	19889
138	3209	19881
139	3235	19873
140	3258	19850
141	3284	19845
142	3308	19828
143	3333	19815
144	3359	19810
145	3385	19799
146	3410	19788
147	3434	19771
148	3457	19746
149	3483	19739
150	3507	19720
151	3532	19705
152	3556	19688
153	3580	19671
154	3606	19661
155	3630	19643
156	3657	19638
157	3684	19637
158	3709	19619
159	3734	19604
160	3758	19584
161	3782	19568
162	3811	19570
163	3835	19552
164	3860	19537
165	3884	19517
166	3907	19492
167	3932	19472
168	3956	19456
169	3983	19448
170	4009	19436
171	4033	19416
172	4058	19400
173	4084	19390
174	4107	19363
175	4130	19340
176	4154	19318
177	4178	19294
178	4205	19287
179	4229	19267
180	4254	19249
181	4278	19231
182	4301	19205
183	4327	19190
184	4353	19177
185	4377	19155
186	4400	19132
187	4425	19115
188	4451	19102
189	4477	19086
190	4500	19063
191	4524	19039
192	4548	19019
193	4572	18997
194	4596	18976
195	4619	18947
196	4641	18917
197	4665	18899
198	4689	18875
199	4713	18854
200	4737	18831
201	4760	18805
202	4783	18779
203	4807	18756
204	4829	18730
205	4854	18711
206	4877	18687
207	4902	18668
208	4926	18645
209	4950	18624
210	4974	18601
211	4998	18579
212	5023	18562
213	5048	18541
214	5072	18520
215	5096	18499
216	5120	18477
217	5145	18459
218	5173	18448
219	5200	18438
220	5225	18418
221	5250	18398
222	5274	18379
223	5298	18356
224	5323	18335
225	5348	18318
226	5371	18291
227	5394	18266
228	5418	18244
229	5441	18218
230	5466	18197
231	5489	18173
232	5513	18149
233	5537	18126
234	5562	18106
235	5585	18082
236	5609	18058
237	5631	18031
238	5661	18027
239	5684	18001
240	5708	17976
241	5731	17952
242	5755	17930
243	5780	17908
244	5803	17885
245	5828	17865
246	5853	17844
247	5877	17821
248	5901	17798
249	5925	17777
250	5950	17757
251	5974	17732
252	5996	17706
253	6020	17682
254	6048	17670
255	6070	17642
256	6097	17628
257	6119	17599
258	6144	17578
259	6167	17554
260	6191	17530
