iter	Passed	Remaining
0	22	22217
1	42	21196
2	66	22032
3	87	21712
4	91	18261
5	95	15851
6	111	15765
7	117	14568
8	142	15690
9	162	16057
10	185	16644
11	196	16190
12	219	16701
13	244	17242
14	250	16462
15	272	16776
16	300	17404
17	335	18310
18	351	18133
19	363	17802
20	386	18036
21	395	17587
22	420	17861
23	444	18065
24	452	17651
25	471	17674
26	479	17284
27	501	17417
28	511	17120
29	536	17360
30	552	17277
31	576	17439
32	597	17495
33	607	17263
34	628	17322
35	654	17534
36	678	17662
37	690	17475
38	712	17555
39	738	17718
40	755	17675
41	777	17736
42	787	17515
43	806	17517
44	814	17283
45	824	17096
46	842	17073
47	868	17221
48	903	17544
49	928	17632
50	932	17343
51	951	17347
52	964	17226
53	987	17300
54	999	17179
55	1015	17125
56	1035	17128
57	1049	17043
58	1079	17215
59	1094	17149
60	1119	17228
61	1144	17310
62	1165	17328
63	1192	17441
64	1206	17360
65	1221	17280
66	1233	17177
67	1260	17276
68	1291	17423
69	1321	17557
70	1354	17719
71	1386	17873
72	1413	17952
73	1441	18042
74	1470	18130
75	1496	18200
76	1521	18239
77	1547	18292
78	1575	18371
79	1604	18448
80	1630	18500
81	1657	18559
82	1679	18558
83	1706	18614
84	1731	18639
85	1755	18653
86	1781	18693
87	1807	18727
88	1831	18746
89	1852	18729
90	1876	18748
91	1889	18651
92	1911	18637
93	1935	18656
94	1959	18664
95	1985	18699
96	2007	18690
97	2032	18706
98	2057	18720
99	2080	18721
100	2104	18736
101	2129	18747
102	2153	18756
103	2179	18774
104	2204	18786
105	2228	18795
106	2251	18788
107	2274	18789
108	2299	18793
109	2325	18812
110	2348	18808
111	2374	18826
112	2400	18842
113	2424	18846
114	2452	18871
115	2476	18875
116	2501	18881
117	2527	18892
118	2551	18892
119	2560	18780
120	2587	18794
121	2611	18792
122	2636	18801
123	2662	18811
124	2688	18820
125	2714	18830
126	2740	18836
127	2766	18845
128	2794	18868
129	2821	18884
130	2846	18880
131	2870	18877
132	2898	18892
133	2924	18899
134	2948	18892
135	2975	18900
136	3000	18899
137	3025	18895
138	3050	18896
139	3075	18893
140	3101	18892
141	3125	18884
142	3148	18869
143	3172	18859
144	3197	18854
145	3222	18847
146	3247	18843
147	3270	18828
148	3295	18820
149	3319	18812
150	3342	18795
151	3365	18775
152	3393	18786
153	3419	18784
154	3443	18773
155	3468	18763
156	3494	18761
157	3519	18753
158	3543	18744
159	3570	18743
160	3596	18740
161	3620	18728
162	3646	18726
163	3672	18721
164	3697	18711
165	3723	18709
166	3749	18701
167	3775	18699
168	3802	18698
169	3826	18684
170	3851	18671
171	3876	18662
172	3901	18652
173	3924	18632
174	3951	18629
175	3978	18628
176	4005	18622
177	4031	18615
178	4055	18603
179	4083	18600
180	4108	18590
181	4132	18571
182	4156	18558
183	4182	18550
184	4205	18527
185	4228	18506
186	4251	18483
187	4274	18464
188	4298	18446
189	4322	18428
190	4353	18437
191	4379	18431
192	4405	18420
193	4431	18410
194	4457	18400
195	4482	18387
196	4507	18371
197	4532	18360
198	4556	18342
199	4582	18330
200	4606	18311
201	4631	18298
202	4658	18287
203	4681	18267
204	4706	18251
205	4730	18234
206	4754	18213
207	4780	18203
208	4807	18193
209	4835	18191
210	4862	18183
211	4893	18188
212	4920	18179
