iter	RMSE
0	15.07378682
1	14.38215681
2	13.71666782
3	13.06304819
4	12.41796977
5	11.80510396
6	11.24031343
7	10.68630555
8	10.1826914
9	9.696640179
10	9.245243714
11	8.798311052
12	8.389043872
13	7.999598384
14	7.608458896
15	7.25072468
16	6.907859499
17	6.59401255
18	6.276228647
19	5.975896148
20	5.703395855
21	5.430705476
22	5.183772106
23	4.950262219
24	4.716014029
25	4.503025937
26	4.290243662
27	4.108771245
28	3.917875059
29	3.744190016
30	3.576704971
31	3.423111757
32	3.274439722
33	3.12751296
34	2.991943161
35	2.869434021
36	2.751118447
37	2.633843549
38	2.528198465
39	2.427555424
40	2.327708024
41	2.237320608
42	2.144716473
43	2.061169421
44	1.980653781
45	1.904975894
46	1.836211974
47	1.773370866
48	1.71317668
49	1.655905675
50	1.599939488
51	1.54710099
52	1.497294374
53	1.44904238
54	1.402084317
55	1.358128561
56	1.316973477
57	1.279466643
58	1.245745335
59	1.211697244
60	1.182395705
61	1.156450284
62	1.128639364
63	1.102252112
64	1.076591851
65	1.053560366
66	1.033694583
67	1.014078168
68	0.9949371934
69	0.9773385189
70	0.9609844576
71	0.9446501439
72	0.9248499318
73	0.9031139256
74	0.885449327
75	0.8677623277
76	0.8503821659
77	0.8349175583
78	0.822792265
79	0.8099829513
80	0.7977165102
81	0.7853500499
82	0.7719319824
83	0.7593451727
84	0.749554843
85	0.7402433995
86	0.7283609446
87	0.719725705
88	0.7095740773
89	0.7014312014
90	0.68983839
91	0.6845577085
92	0.6764809633
93	0.6701386795
94	0.6625860247
95	0.6547134454
96	0.6485575979
97	0.6424746754
98	0.6367207791
99	0.6303546339
100	0.6223199128
101	0.6174441595
102	0.6122676882
103	0.6065851282
104	0.6018156425
105	0.5962534395
106	0.5920163362
107	0.5872320297
108	0.5827465028
109	0.5794551185
110	0.5756825282
111	0.5697881088
112	0.5661756377
113	0.5613510356
114	0.5574817446
115	0.5544898763
116	0.5507823857
117	0.5461696032
118	0.5425778529
119	0.5414786963
120	0.5387513569
121	0.5364353959
122	0.5324797706
123	0.5294701341
124	0.5266077492
125	0.5238219726
126	0.5211501407
127	0.5180899392
128	0.5159864425
129	0.5133140194
130	0.5102402973
131	0.5069481244
132	0.505288159
133	0.5033203058
134	0.5001068026
135	0.4974462385
136	0.494025593
137	0.4910199198
138	0.4880678386
139	0.4854050952
140	0.4829764799
141	0.4813110037
142	0.4789002413
143	0.4767583633
144	0.4749449129
145	0.4735581621
146	0.4716245612
147	0.4692372724
148	0.4661820943
149	0.4648183733
150	0.4627456542
151	0.4610548057
152	0.4597620047
153	0.4575031568
154	0.4556346501
155	0.4532805181
156	0.4509860163
157	0.4490273052
158	0.4468686816
159	0.4455009596
160	0.4433189915
161	0.4421267869
162	0.4409134329
163	0.4394396096
164	0.4376819125
165	0.4368877784
166	0.4349713113
167	0.4342025936
168	0.4332088345
169	0.4324678285
170	0.4310835936
171	0.4299954497
172	0.4283528778
173	0.4266094452
174	0.424672404
175	0.422812363
176	0.4211927178
177	0.4198387578
178	0.4188575852
179	0.4168567174
180	0.4159506187
181	0.4149400117
182	0.4140543877
183	0.412182369
184	0.4104008582
185	0.4093455548
186	0.4085760511
187	0.4073861605
188	0.4064689847
189	0.404610184
190	0.4039799797
191	0.4022054228
192	0.4013403589
193	0.3996592226
194	0.3991941643
195	0.3987156938
196	0.3980859227
197	0.3974450443
198	0.3967486454
199	0.3961694733
200	0.3948505154
201	0.3942994928
202	0.3938139163
203	0.3933555415
204	0.3927571084
205	0.3920007581
206	0.3915968654
207	0.3890790353
208	0.3887198023
209	0.3874649515
210	0.38706114
211	0.3861887885
212	0.3851726166
213	0.3836108851
214	0.3827847289
215	0.3822166907
216	0.3818787596
217	0.3815180947
218	0.380503158
219	0.3799066996
220	0.3792310546
221	0.3788617685
